league,kickoff_iso,home_team,away_team,home_lambda,away_lambda,home_lambda_venue,away_lambda_venue,home_lambda_recent,away_lambda_recent,home_consensus,away_consensus,home_divergence,away_divergence,note,home_p_over_8.5,home_fair_over_8.5,home_fair_under_8.5,away_p_over_8.5,away_fair_over_8.5,away_fair_under_8.5,home_p_over_9.5,home_fair_over_9.5,home_fair_under_9.5,away_p_over_9.5,away_fair_over_9.5,away_fair_under_9.5,home_p_over_10.5,home_fair_over_10.5,home_fair_under_10.5,away_p_over_10.5,away_fair_over_10.5,away_fair_under_10.5,home_p_over_11.5,home_fair_over_11.5,home_fair_under_11.5,away_p_over_11.5,away_fair_over_11.5,away_fair_under_11.5,home_p_over_12.5,home_fair_over_12.5,home_fair_under_12.5,away_p_over_12.5,away_fair_over_12.5,away_fair_under_12.5,home_p_over_13.5,home_fair_over_13.5,home_fair_under_13.5,away_p_over_13.5,away_fair_over_13.5,away_fair_under_13.5,home_p_over_14.5,home_fair_over_14.5,home_fair_under_14.5,away_p_over_14.5,away_fair_over_14.5,away_fair_under_14.5,home_p_over_15.5,home_fair_over_15.5,home_fair_under_15.5,away_p_over_15.5,away_fair_over_15.5,away_fair_under_15.5,home_p_over_16.5,home_fair_over_16.5,home_fair_under_16.5,away_p_over_16.5,away_fair_over_16.5,away_fair_under_16.5,home_p_over_17.5,home_fair_over_17.5,home_fair_under_17.5,away_p_over_17.5,away_fair_over_17.5,away_fair_under_17.5,home_p_over_19.5,home_fair_over_19.5,home_fair_under_19.5,away_p_over_19.5,away_fair_over_19.5,away_fair_under_19.5,home_p_over_20.5,home_fair_over_20.5,home_fair_under_20.5,away_p_over_20.5,away_fair_over_20.5,away_fair_under_20.5
serie-a,2026-04-25T18:45:00Z,Hellas Verona,US Lecce,13.37,9.38,12.12,9.11,11.76,9.73,aligned,aligned,0.0295,0.0679,,0.8169,1.224,5.461,0.6561,1.524,2.907,0.7516,1.33,4.026,0.5467,1.829,2.206,0.6759,1.48,3.085,0.4653,2.149,1.87,0.6137,1.63,2.588,0.3729,2.682,1.595,0.5579,1.793,2.262,0.301,3.322,1.431,0.4842,2.065,1.939,0.2359,4.24,1.309,0.3924,2.548,1.646,0.1765,5.665,1.214,0.3092,3.234,1.448,0.1207,8.283,1.137,0.2478,4.036,1.329,0.0826,12.101,1.09,0.185,5.407,1.227,0.0532,18.803,1.056,0.1005,9.953,1.112,0.0198,50.632,1.02,0.0659,15.176,1.071,0.0103,97.437,1.01
la-liga,2026-04-25T19:00:00Z,Atletico Madrid,Athletic Bilbao,11.47,13.04,12.54,12.46,12.03,12.64,aligned,aligned,0.041,0.0146,,0.7556,1.323,4.091,0.8079,1.238,5.205,0.6711,1.49,3.041,0.7396,1.352,3.84,0.5899,1.695,2.438,0.6627,1.509,2.965,0.5121,1.953,2.05,0.5979,1.673,2.487,0.4459,2.243,1.805,0.5402,1.851,2.175,0.3716,2.691,1.591,0.466,2.146,1.873,0.2907,3.441,1.41,0.3755,2.663,1.601,0.2161,4.627,1.276,0.2933,3.41,1.415,0.1626,6.149,1.194,0.2327,4.297,1.303,0.1142,8.76,1.129,0.1721,5.812,1.208,0.0532,18.804,1.056,0.0913,10.955,1.1,0.0317,31.508,1.033,0.059,16.95,1.063
serie-a,2026-04-26T10:30:00Z,ACF Fiorentina,Sassuolo Calcio,17.1,10.22,19.09,11.78,17.36,13.95,aligned,divergent,0.0902,0.1844,,0.8903,1.123,9.112,0.7014,1.426,3.349,0.8509,1.175,6.708,0.6024,1.66,2.515,0.7902,1.266,4.765,0.5199,1.923,2.083,0.7527,1.329,4.044,0.4326,2.312,1.762,0.717,1.395,3.533,0.3617,2.765,1.567,0.6555,1.525,2.903,0.2914,3.432,1.411,0.5622,1.779,2.284,0.2221,4.502,1.286,0.4796,2.085,1.922,0.1576,6.344,1.187,0.4177,2.394,1.717,0.1126,8.884,1.127,0.341,2.933,1.517,0.0753,13.286,1.081,0.2294,4.358,1.298,0.0309,32.333,1.032,0.1725,5.799,1.208,0.0171,58.491,1.017
la-liga,2026-04-26T12:00:00Z,Rayo Vallecano,Real Sociedad San Sebastian,16.88,11.59,17.89,11.92,18.25,10.3,aligned,aligned,0.0201,0.136,,0.8871,1.127,8.854,0.7603,1.315,4.171,0.8466,1.181,6.517,0.6772,1.477,3.098,0.7849,1.274,4.649,0.5962,1.677,2.476,0.7462,1.34,3.94,0.5194,1.925,2.081,0.7095,1.409,3.442,0.4538,2.204,1.831,0.6471,1.545,2.834,0.3793,2.636,1.611,0.5534,1.807,2.239,0.2974,3.362,1.423,0.4703,2.126,1.888,0.2221,4.502,1.286,0.408,2.451,1.689,0.1679,5.956,1.202,0.3316,3.016,1.496,0.1184,8.447,1.134,0.2208,4.528,1.283,0.0558,17.93,1.059,0.1649,6.066,1.197,0.0335,29.838,1.035
serie-a,2026-04-26T13:00:00Z,Genoa CFC,Como 1907,8.26,15.86,8.0,13.12,8.6,12.08,aligned,aligned,0.0743,0.0791,,0.5827,1.716,2.396,0.8708,1.148,7.738,0.4609,2.17,1.855,0.8243,1.213,5.692,0.3839,2.605,1.623,0.7584,1.318,4.14,0.2887,3.464,1.406,0.7138,1.401,3.494,0.2196,4.554,1.281,0.672,1.488,3.049,0.1648,6.069,1.197,0.6058,1.651,2.536,0.1202,8.322,1.137,0.5108,1.958,2.044,0.0776,12.885,1.084,0.4261,2.347,1.742,0.0497,20.121,1.052,0.3625,2.758,1.569,0.0301,33.185,1.031,0.2883,3.468,1.405,0.0095,104.965,1.01,0.1825,5.48,1.223,0.0045,222.982,1.005,0.1318,7.589,1.152
bundesliga,2026-04-26T13:30:00Z,VfB Stuttgart,Werder Bremen,14.52,11.26,14.95,9.63,15.79,10.74,aligned,aligned,0.0563,0.1145,,0.8447,1.184,6.44,0.7475,1.338,3.96,0.789,1.267,4.739,0.6607,1.514,2.947,0.7177,1.393,3.542,0.5791,1.727,2.376,0.6641,1.506,2.977,0.4996,2.002,1.998,0.615,1.626,2.597,0.4324,2.313,1.762,0.5442,1.838,2.194,0.3585,2.789,1.559,0.4496,2.224,1.817,0.2793,3.581,1.387,0.3645,2.743,1.574,0.2062,4.85,1.26,0.3011,3.321,1.431,0.1539,6.498,1.182,0.2319,4.312,1.302,0.1072,9.326,1.12,0.136,7.355,1.157,0.049,20.409,1.052,0.0935,10.692,1.103,0.0289,34.602,1.03
la-liga,2026-04-26T14:15:00Z,Real Oviedo,Elche CF,13.94,11.79,13.29,9.87,13.42,10.19,aligned,aligned,0.0101,0.0321,,0.8315,1.203,5.933,0.7677,1.303,4.304,0.7711,1.297,4.369,0.6868,1.456,3.192,0.6975,1.434,3.306,0.6062,1.65,2.539,0.6397,1.563,2.776,0.5311,1.883,2.133,0.5873,1.703,2.423,0.4665,2.144,1.874,0.5148,1.942,2.061,0.3918,2.552,1.644,0.4214,2.373,1.728,0.3084,3.242,1.446,0.3369,2.968,1.508,0.2319,4.313,1.302,0.2743,3.646,1.378,0.1766,5.663,1.214,0.2081,4.806,1.263,0.1254,7.975,1.143,0.1175,8.508,1.133,0.0601,16.63,1.064,0.079,12.659,1.086,0.0365,27.375,1.038
bundesliga,2026-04-26T15:30:00Z,Borussia Dortmund,SC Freiburg,16.38,10.04,16.88,8.83,18.18,8.65,aligned,aligned,0.0775,0.0203,,0.8794,1.137,8.29,0.6919,1.445,3.246,0.836,1.196,6.099,0.5906,1.693,2.442,0.7723,1.295,4.392,0.5082,1.968,2.033,0.7308,1.368,3.715,0.4196,2.383,1.723,0.6916,1.446,3.243,0.3483,2.871,1.534,0.6273,1.594,2.683,0.2789,3.585,1.387,0.5328,1.877,2.14,0.2118,4.722,1.269,0.4488,2.228,1.814,0.1491,6.706,1.175,0.3858,2.592,1.628,0.1055,9.476,1.118,0.3103,3.223,1.45,0.07,14.287,1.075,0.2017,4.959,1.253,0.0282,35.522,1.029,0.1482,6.749,1.174,0.0154,65.105,1.016
serie-a,2026-04-26T16:00:00Z,Torino FC,Inter Milano,10.26,16.45,9.72,16.86,9.45,15.53,aligned,aligned,0.0277,0.0785,,0.703,1.423,3.367,0.8806,1.136,8.373,0.6043,1.655,2.527,0.8377,1.194,6.161,0.5219,1.916,2.091,0.7743,1.292,4.43,0.4348,2.3,1.769,0.7332,1.364,3.748,0.364,2.748,1.572,0.6944,1.44,3.272,0.2935,3.408,1.415,0.6304,1.586,2.705,0.2239,4.467,1.288,0.5359,1.866,2.155,0.1591,6.286,1.189,0.4521,2.212,1.825,0.1138,8.79,1.128,0.3892,2.57,1.637,0.0762,13.128,1.082,0.3135,3.19,1.457,0.0314,31.835,1.032,0.2045,4.889,1.257,0.0174,57.465,1.018,0.1506,6.639,1.177
la-liga,2026-04-26T16:30:00Z,CA Osasuna,Sevilla FC,10.92,10.18,11.9,11.13,13.23,11.91,aligned,aligned,0.1113,0.0701,,0.7333,1.364,3.75,0.6994,1.43,3.327,0.6426,1.556,2.798,0.5999,1.667,2.499,0.5605,1.784,2.275,0.5175,1.933,2.072,0.4783,2.091,1.917,0.4299,2.326,1.754,0.4097,2.441,1.694,0.3589,2.786,1.56,0.3366,2.971,1.507,0.2887,3.463,1.406,0.2604,3.84,1.352,0.2199,4.547,1.282,0.1899,5.266,1.234,0.1558,6.417,1.185,0.1398,7.154,1.163,0.1111,9.003,1.125,0.0961,10.401,1.106,0.0741,13.488,1.08,0.0425,23.529,1.044,0.0303,32.97,1.031,0.0246,40.708,1.025,0.0167,59.806,1.017
serie-a,2026-04-26T18:45:00Z,AC Milan,Juventus Turin,12.98,14.07,14.41,12.76,13.91,13.21,aligned,aligned,0.0347,0.035,,0.8061,1.24,5.158,0.8345,1.198,6.044,0.7373,1.356,3.807,0.7753,1.29,4.45,0.6602,1.515,2.943,0.7022,1.424,3.358,0.5949,1.681,2.469,0.6453,1.55,2.819,0.5369,1.863,2.159,0.5936,1.685,2.461,0.4626,2.162,1.861,0.5215,1.917,2.09,0.3724,2.686,1.593,0.4278,2.338,1.748,0.2903,3.445,1.409,0.3431,2.914,1.522,0.23,4.349,1.299,0.2803,3.568,1.389,0.1697,5.892,1.204,0.2133,4.687,1.271,0.0896,11.158,1.098,0.1216,8.227,1.138,0.0578,17.312,1.061,0.0821,12.176,1.089
la-liga,2026-04-26T19:00:00Z,Villarreal CF,RC Celta de Vigo,11.29,9.82,13.46,9.61,12.61,9.73,aligned,aligned,0.0627,0.013,,0.7485,1.336,3.977,0.6808,1.469,3.133,0.662,1.511,2.959,0.5769,1.733,2.364,0.5804,1.723,2.383,0.4947,2.022,1.979,0.5012,1.995,2.005,0.4048,2.47,1.68,0.4341,2.303,1.767,0.3331,3.002,1.5,0.3602,2.776,1.563,0.265,3.774,1.36,0.2807,3.562,1.39,0.2003,4.993,1.25,0.2074,4.821,1.262,0.1397,7.157,1.162,0.155,6.452,1.183,0.0979,10.218,1.108,0.1081,9.251,1.121,0.0643,15.552,1.069,0.0495,20.195,1.052,0.0252,39.638,1.026,0.0293,34.188,1.03,0.0136,73.758,1.014
serie-a,2026-04-27T16:30:00Z,Cagliari Calcio,Atalanta BC,11.14,14.57,9.89,12.54,10.91,12.92,aligned,aligned,0.1032,0.03,,0.7428,1.346,3.887,0.8459,1.182,6.488,0.6546,1.528,2.895,0.7905,1.265,4.774,0.5728,1.746,2.341,0.7194,1.39,3.564,0.4924,2.031,1.97,0.6662,1.501,2.996,0.4247,2.354,1.738,0.6174,1.62,2.614,0.3511,2.848,1.541,0.5468,1.829,2.206,0.2728,3.665,1.375,0.4521,2.212,1.825,0.2006,4.985,1.251,0.367,2.725,1.58,0.149,6.71,1.175,0.3036,3.294,1.436,0.1034,9.672,1.115,0.2341,4.271,1.306,0.0467,21.403,1.049,0.1377,7.262,1.16,0.0274,36.534,1.028,0.0949,10.536,1.105
serie-a,2026-04-27T18:45:00Z,Lazio Rome,Udinese Calcio,13.58,10.43,13.86,10.42,12.98,10.63,aligned,aligned,0.0636,0.0203,,0.8225,1.216,5.633,0.7115,1.405,3.466,0.7591,1.317,4.151,0.615,1.626,2.598,0.6842,1.462,3.166,0.5326,1.878,2.139,0.6236,1.604,2.657,0.4467,2.238,1.807,0.569,1.757,2.32,0.3764,2.657,1.604,0.4958,2.017,1.983,0.3051,3.278,1.439,0.4033,2.479,1.676,0.2336,4.28,1.305,0.3196,3.129,1.47,0.1672,5.98,1.201,0.2576,3.882,1.347,0.1206,8.295,1.137,0.1935,5.169,1.24,0.0813,12.296,1.089,0.1067,9.374,1.119,0.0342,29.247,1.035,0.0706,14.161,1.076,0.0192,52.173,1.02
epl,2026-04-27T19:00:00Z,Manchester United,Brentford FC,17.76,9.34,18.22,8.47,18.16,8.77,aligned,aligned,0.0036,0.0351,,0.8991,1.112,9.909,0.6536,1.53,2.887,0.863,1.159,7.301,0.5438,1.839,2.192,0.8049,1.242,5.125,0.4624,2.163,1.86,0.7708,1.297,4.363,0.3699,2.704,1.587,0.738,1.355,3.817,0.298,3.356,1.424,0.6792,1.472,3.117,0.2331,4.29,1.304,0.5873,1.703,2.423,0.1743,5.737,1.211,0.5064,1.975,2.026,0.119,8.405,1.135,0.4457,2.243,1.804,0.0813,12.306,1.088,0.3685,2.714,1.583,0.0522,19.162,1.055,0.2553,3.917,1.343,0.0193,51.879,1.02,0.1956,5.112,1.243,0.01,100.168,1.01
la-liga,2026-04-27T19:00:00Z,Espanyol Barcelona,Levante UD,15.34,14.57,16.79,11.08,18.51,10.41,aligned,aligned,0.1023,0.0603,,0.8614,1.161,7.217,0.8458,1.182,6.483,0.8116,1.232,5.309,0.7904,1.265,4.771,0.7436,1.345,3.901,0.7192,1.39,3.562,0.6957,1.437,3.287,0.666,1.501,2.994,0.6512,1.536,2.867,0.6172,1.62,2.612,0.5831,1.715,2.398,0.5465,1.83,2.205,0.4879,2.05,1.953,0.4519,2.213,1.824,0.4028,2.483,1.674,0.3668,2.727,1.579,0.3391,2.949,1.513,0.3033,3.297,1.435,0.2665,3.752,1.363,0.2339,4.275,1.305,0.164,6.098,1.196,0.1375,7.271,1.159,0.1163,8.597,1.132,0.0948,10.552,1.105
