compared_at,captured_at,match_date,kickoff,bookmaker,competition,home_team,away_team,is_home,player_id,player_name,canonical_player_name,player_team,opponent,position,position_group,odds_decimal,implied_prob,model_version,calibration_version,allocation_status,roster_prior_players,model_p_atgs,model_fair_odds_atgs,model_lambda,team_expected_npxg,team_share,non_pen_lambda,base_non_pen_lambda,penalty_lambda,base_model_lambda,role_adjustment_factor,role_adjustment_reason,penalty_dependency_share,penalty_dependent,penalty_share,baseline_penalty_share,baseline_penalty_sample,baseline_penalty_source,career_player_penalties,career_team_penalties,career_penalty_share,penalty_evidence_share,penalty_evidence_sample,penalty_evidence_source,penalty_evidence_note,is_penalty_taker,penalty_role,penalty_share_prior,penalty_share_prior_weight,penalty_hierarchy_boost_xg,penalty_transfer,penalty_transfer_from,penalty_transfer_level,lineup_state,lineup_status,lineup_source,lineup_input,lineup_match_name,trust_tier,fixture_corruption_score,fixture_corruption_flags,minutes_estimate,usual_position,usual_position_score,usual_position_share_10,usual_position_matches_10,today_position_group,today_position_score,today_formation,position_change_score,position_upgrade,expected_minutes,recent_matches_8,recent_npxg_8,recent_np_goals_8,recent_npxg_per90_8,finishing_luck_8,last_fixture_avg_xga_3,next_opponent_xga,fixture_swing_3,attack_factor,opp_factor,ev,edge_pct,method,resolver_source,historical_minutes,signal_confidence,legacy_public_action,public_action,public_policy_reason,recommended_stake_units,recommended_stake_band,recommended_stake_label,shadow_action,confidence_reason,team_lineup_status,source,notes
2026-09-19T13:56:21Z,2026-09-19T13:56:19Z,2026-09-19,,Bet365,Spain - LaLiga,RC Celta de Vigo,Racing Santander,1,1621,Marcos Alonso,Marcos Alonso,Celta Vigo,Racing Santander,DC,DC,7.0,0.142857,goalscorer_v1_incomplete_roster,raw,expected_roster,0,0.130593,7.6574,0.1399,1.5024,0.0678,0.1018,0.1018,0.0381,0.1399,1.0,,0.2725,0,0.5403,0.0456,2.42,recent_long,4.0,15.0,0.2667,0.0,0.0,,,1,tertiary,0.66,10.0,0.0362,1,Borja Iglesias,tertiary,expected_starter,expected_starter,fotmob_expected,expected_xi,Marcos Alonso,T2,0.0,,86.5,DC,1,1.0,10,DEF,1,3-4-3,0,0,86.5,8,0.2798,0.0,0.0369,-0.2798,1.667,2.4931,1.4956,0.9198,1.25,-0.085847,-8.585,model,history,6103.0,medium,monitor,no_action,incomplete_prediction_roster,0.0,,,no_action,"history_resolver,expected_xi,incomplete_prediction_roster,fixture_t2",FotMob Expected XI,odds_api_io,event_id=72478590;market=Anytime Goalscorer
2026-09-19T13:56:21Z,2026-09-19T13:56:19Z,2026-09-19,,Bet365,Spain - LaLiga,RC Celta de Vigo,Racing Santander,1,10078,Hugo Alvarez,Hugo Alvarez,Celta Vigo,Racing Santander,FWL,FWL,3.4,0.294118,goalscorer_v1_incomplete_roster,raw,expected_roster,0,0.260773,3.8347,0.3022,1.5024,0.2011,0.3022,0.3022,0.0,0.3022,1.0,,0.0,0,0.0,0.0,2.53,recent_long,0.0,14.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,expected_starter,expected_starter,fotmob_expected,expected_xi,Hugo Álvarez,T2,0.0,,78.0,FWL,5,0.6,5,FW,5,3-4-3,0,0,78.0,8,0.3162,0.0,0.0933,-0.3162,1.5295,2.4931,1.63,0.9198,1.25,-0.11337,-11.337,model,history,3887.0,medium,monitor,no_action,incomplete_prediction_roster,0.0,,,no_action,"history_resolver,expected_xi,incomplete_prediction_roster,fixture_t2",FotMob Expected XI,odds_api_io,event_id=72478590;market=Anytime Goalscorer
2026-09-19T13:56:21Z,2026-09-19T13:56:19Z,2026-09-19,,Bet365,Spain - LaLiga,Athletic Bilbao,Deportivo Alaves,0,10857,Pablo Ibanez,Pablo Ibanez,Alaves,Athletic Bilbao,MC,MC,6.5,0.153846,goalscorer_v1_incomplete_roster,raw,estimated_roster,4,0.135992,7.3534,0.1462,1.3365,0.1094,0.1462,0.1462,0.0,0.1462,1.0,,0.0,0,0.0,0.0,1.38,recent_long,0.0,16.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,starter,confirmed_starter,fotmob_confirmed,confirmed_xi,Pablo Ibánez,T1,0.0,,85.0,MC,3,1.0,8,MID,3,3-5-2,0,0,85.0,8,1.3484,1.0,0.204,-0.3484,1.2755,1.3551,1.0624,1.1578,1.0303,-0.11605,-11.605,model,history,5187.0,high,monitor,no_action,incomplete_prediction_roster,0.0,,,no_action,"history_resolver,confirmed_starter,incomplete_prediction_roster",Confirmed Lineup,odds_api_io,event_id=72478586;market=Anytime Goalscorer
2026-09-19T13:56:21Z,2026-09-19T13:56:19Z,2026-09-19,,Bet365,Spain - LaLiga,Athletic Bilbao,Deportivo Alaves,1,2399,Inaki Williams,Inaki Williams,Athletic Club,Deportivo Alaves,FW,FW,2.6,0.384615,goalscorer_v1_roster_20260908,raw,confirmed_roster,0,0.333983,2.9942,0.4064,1.5045,0.2684,0.4037,0.3902,0.0027,0.3929,1.0347,confirmed_role_delta=+1;usual=AMR;today=FW;weight=0.69,0.0066,0,0.0438,0.0438,1.29,recent_long,1.0,17.0,0.0588,0.0,0.0,,,0,none,0.0,0.0,0.0014,0,,,starter,confirmed_starter,fotmob_confirmed,confirmed_xi,Iñaki Williams,T1,0.0,,85.0,AMR,4,0.5556,9,FW,5,4-2-3-1,1,0,85.0,8,4.5098,2.0,0.6903,-2.5098,1.6357,1.2156,0.7432,1.2073,0.9536,-0.131643,-13.164,model,history,8071.0,high,monitor,no_action,,0.0,,,no_action,"history_resolver,confirmed_starter,role_adjusted",Confirmed Lineup,odds_api_io,event_id=72478586;market=Anytime Goalscorer
2026-09-19T13:56:21Z,2026-09-19T13:56:19Z,2026-09-19,,Bet365,Spain - LaLiga,Sevilla FC,FC Barcelona,1,5179,Jon Guridi,Jon Guridi,Sevilla,FC Barcelona,AMC,AMC,5.5,0.181818,goalscorer_v1_incomplete_roster,raw,estimated_roster,1,0.155666,6.424,0.1692,0.9499,0.1135,0.1078,0.1078,0.0614,0.1692,1.0,,0.363,0,0.5686,0.2722,3.47,recent_long,2.0,25.0,0.08,0.0,0.0,,,1,primary,0.74,6.0,0.0409,0,,,expected_starter,expected_starter,fotmob_expected,expected_xi,Jon Guridi,T2,0.0,,78.0,MC,3,0.5556,9,AM,4,4-2-3-1,1,0,78.0,8,0.1474,0.0,0.0252,-0.1474,1.711,1.1618,0.679,0.7866,0.9241,-0.143837,-14.384,model,history,6509.0,medium,monitor,no_action,incomplete_prediction_roster,0.0,,,no_action,"history_resolver,expected_xi,incomplete_prediction_roster,fixture_t2",FotMob Expected XI,odds_api_io,event_id=72478600;market=Anytime Goalscorer
2026-09-19T13:56:21Z,2026-09-19T13:56:19Z,2026-09-19,,Bet365,Spain - LaLiga,RC Celta de Vigo,Racing Santander,0,2571,Sergio Canales,Sergio Canales,Racing Santander,RC Celta de Vigo,MC,MC,3.1,0.322581,goalscorer_v1_incomplete_roster,raw,expected_roster,0,0.256894,3.8927,0.2969,1.3013,0.1506,0.196,0.196,0.1009,0.2969,1.0,,0.3399,0,0.6571,0.0,1.51,recent_long,0.0,2.0,0.0,0.0,0.0,,,1,secondary,0.74,12.0,0.1009,1,Andrés Martín,secondary,expected_starter,expected_starter,fotmob_expected,expected_xi,Sergio Canales,T2,0.0,,82.3,AMC,4,0.8333,6,AM,4,4-2-3-1,0,0,82.3,6,1.0625,1.0,0.1944,-0.0625,1.355,1.5506,1.1443,1.0209,1.1377,-0.20363,-20.363,model,history,492.0,low,suppress,no_action,incomplete_prediction_roster,0.0,,,no_action,"history_lt_500,incomplete_prediction_roster,fixture_t2",FotMob Expected XI,odds_api_io,event_id=72478590;market=Anytime Goalscorer
2026-09-19T13:56:21Z,2026-09-19T13:56:19Z,2026-09-19,,Bet365,Spain - LaLiga,RC Celta de Vigo,Racing Santander,0,13376,Pablo Garcia,Pablo García,Racing Santander,RC Celta de Vigo,M S,M S,4.75,0.210526,goalscorer_v1_incomplete_roster,raw,expected_roster,0,0.160582,6.2274,0.175,1.3013,0.1345,0.175,0.175,0.0,0.175,1.0,,0.0,0,0.0,0.0,1.63,recent_long,0.0,2.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,expected_starter,expected_starter,fotmob_expected,expected_xi,Pablo García,T2,0.0,,78.0,AMR,4,1.0,1,AM,4,4-2-3-1,0,0,78.0,8,0.293,0.0,0.1533,-0.293,1.5934,1.5506,0.9731,1.0209,1.1377,-0.237237,-23.724,model,live_roster,346.0,low,suppress,no_action,incomplete_prediction_roster,0.0,,,no_action,"history_lt_500,incomplete_prediction_roster,fixture_t2",FotMob Expected XI,odds_api_io,event_id=72478590;market=Anytime Goalscorer
2026-09-19T13:56:21Z,2026-09-19T13:56:19Z,2026-09-19,,Bet365,Spain - LaLiga,Athletic Bilbao,Deportivo Alaves,1,7779,Oihan Sancet,Oihan Sancet,Athletic Club,Deportivo Alaves,AMC,AMC,2.75,0.363636,goalscorer_v1_roster_20260908,raw,confirmed_roster,0,0.272557,3.669,0.3182,1.5045,0.1824,0.2745,0.2745,0.0437,0.3182,1.0,,0.1374,0,0.71,0.1419,1.27,recent_long,6.0,12.0,0.5,0.0,0.0,,,1,primary,0.8,8.0,0.0397,0,,,starter,confirmed_starter,fotmob_confirmed,confirmed_xi,Oihan Sancet,T1,0.0,,85.0,AMC,4,1.0,7,AM,4,4-2-3-1,0,0,85.0,8,2.2419,2.0,0.3597,-0.2419,1.6357,1.2156,0.7432,1.2073,0.9536,-0.250469,-25.047,model,history,5945.0,high,monitor,no_action,,0.0,,,no_action,"history_resolver,confirmed_starter",Confirmed Lineup,odds_api_io,event_id=72478586;market=Anytime Goalscorer
2026-09-19T13:56:21Z,2026-09-19T13:56:19Z,2026-09-19,,Bet365,Spain - LaLiga,Athletic Bilbao,Deportivo Alaves,0,10364,Nahuel Tenaglia,Nahuel Tenaglia,Alaves,Athletic Bilbao,DC,DC,11.0,0.090909,goalscorer_v1_incomplete_roster,raw,estimated_roster,4,0.067971,14.7122,0.0704,1.3365,0.0527,0.0704,0.0704,0.0,0.0704,1.0,,0.0,0,0.0,0.0,1.83,recent_long,0.0,22.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,starter,confirmed_starter,fotmob_confirmed,confirmed_xi,Nahuel Tenaglia,T1,0.0,,85.0,DC,1,1.0,10,DEF,1,3-5-2,0,0,85.0,8,0.69,1.0,0.0917,0.31,1.2755,1.3551,1.0624,1.1578,1.0303,-0.252319,-25.232,model,history,7778.0,high,monitor,no_action,incomplete_prediction_roster,0.0,,,no_action,"history_resolver,confirmed_starter,incomplete_prediction_roster",Confirmed Lineup,odds_api_io,event_id=72478586;market=Anytime Goalscorer
2026-09-19T13:56:21Z,2026-09-19T13:56:19Z,2026-09-19,,Bet365,Spain - LaLiga,Sevilla FC,FC Barcelona,0,11822,Fermin Lopez,Fermin Lopez,Barcelona,Sevilla FC,MC,MC,2.5,0.4,goalscorer_v1_incomplete_roster,raw,expected_roster,0,0.268661,3.7222,0.3129,1.9141,0.1635,0.3129,0.3129,0.0,0.3129,1.0,,0.0,0,0.0,0.0,4.48,recent_long,0.0,21.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,expected_starter,expected_starter,fotmob_expected,expected_xi,Fermín López,T2,0.0,,78.0,MC,3,0.375,8,AM,4,4-2-3-1,1,0,78.0,8,3.3956,4.0,0.5085,0.6044,1.46,1.1616,0.7956,1.849,0.924,-0.328347,-32.835,model,history,4825.0,medium,monitor,no_action,incomplete_prediction_roster,0.0,,,no_action,"history_resolver,expected_xi,incomplete_prediction_roster,fixture_t2",FotMob Expected XI,odds_api_io,event_id=72478600;market=Anytime Goalscorer
